# AcquisitionDate	AcquisitionTime	PercentUniformityIntegral	GhostingRatio	GhostingRatioSlice5	GhostingRatioSlice5STD	SlicePositionAccuracySlice1	SlicePositionAccuracySlice11	DiameterXSlice1	DiameterXSlice5	DiameterYSlice1	DiameterYSlice5	DiameterDiag1Slice1	DiameterDiag1Slice5	DiameterDiag2Slice1	DiameterDiag2Slice5	SliceThickness	UL1Score	LR1Score	UL2Score	LR2Score	UL3Score	LR3Score	SNR
2015-01-18	12:59:17.0000000	91.4815867543355	0.00421046486247228	0.00719112215856474	23.7895671356118	1.954	-0.977	18.8561	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	5.32061651376147	4	4	4	4	1	2	252.123907424799
2015-01-19	13:16:23.0000000	91.3430688425871	0.000738340096015984	0.000783750680317744	2.58994751679985	0.977	-0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	19.0672757760515	18.9291071110076	18.9291071110076	5.46945535714286	4	4	4	2	1	1	393.782006057497
2015-01-19	17:34:38.0000000	91.3063345133836	0.00165465279549372	0.000432289285934541	1.88159904395602	1.954	0	18.9538	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.35751272727273	4	4	4	4	2	1	319.949699710583
2015-01-20	17:00:29.0000000	91.2327422733509	0.00232151440367129	0.000700888997487885	2.3979939462551	1.954	0	18.9538	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.6666	4	4	4	3	1	1	392.982347250104
2015-01-21	16:57:19.0000000	91.3291425415887	0.00100789442422395	0.0010844490763335	3.19438235482207	1.954	0.977	18.9538	18.9538	19.1492	19.1492	18.9291071110076	19.0672757760515	19.0672757760515	18.9291071110076	5.5161592920354	4	4	4	3	1	1	408.216985181663
2015-01-22	15:53:06.0000000	91.1311209673242	0.000533867110702445	0.00334701080268157	7.85416304552567	1.954	0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	19.0672757760515	18.9291071110076	18.9291071110076	5.56204385964912	4	4	4	4	2	2	410.347410934368
2015-01-23	14:55:53.0000000	91.331850062	0.00278976845249715	0.000754029806294341	2.10251898510793	2.931	-0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	18.9291071110076	18.9291071110076	19.0672757760515	5.5161592920354	4	4	4	3	1	1	397.931676726583
2015-01-26	16:16:37.0000000	90.2816310416959	0.000633824168140177	0.000433544133729154	0.962290512260726	1.954	-0.977	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.37172363636363	4	4	4	3	2	1	344.772413902322
2015-01-27	11:50:40.0000000	91.3237011462819	0.000588139857452029	0.000722411885331666	1.89762905727276	0.977	-1.954	18.9538	18.9538	19.1492	19.0515	19.0672757760515	18.9291071110076	19.0672757760515	19.0672757760515	5.32061651376147	4	4	4	3	2	1	398.725319773516
2015-01-28	08:58:13.0000000	90.6637372452143	0.00127317592173581	0.000955853075622162	3.84954003423945	1.954	0	18.9538	18.9538	19.1492	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.51961769911504	4	4	4	3	1	1	406.480252762562
2015-01-29	08:49:38.0000000	90.4915326955186	0.00143348817547342	0.00199886211213487	5.59008881549591	1.954	-0.977	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.41838918918919	4	4	4	2	1	1	395.25230766622
2015-01-29	16:50:50.0000000	91.346335428695	0.000617547282074238	0.000940571795991632	2.58191515908367	1.954	0.977	18.9538	19.0515	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.70501196581197	4	4	4	2	2	1	323.026265114272
2015-01-30	09:05:40.0000000	89.5265966169255	0.0010297776782303	0.00037418157644862	1.16976435584044	1.954	-0.977	18.9538	18.9538	19.1492	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	5.37172363636363	4	4	4	2	2	1	345.594156416846
2015-02-02	08:55:50.0000000	90.7480847389569	0.00542895570259567	0.00251809600792666	7.2116499260939	0.977	-0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	18.9291071110076	18.9291071110076	19.0672757760515	5.41838918918919	4	4	4	2	2	1	413.758678456161
